Text,γάρ,μέν,δέ,καί,P dens/100,MB dens/100,E dens/100,Density (MB:P+E)
"Gorg., Helen",0.48,1.53,1.51,0.69,12.06,9.33,4.92,0.86
"Hipp., De arte",0.35,1.36,0.71,0.79,8.87,8.63,4.23,1.20
"Hipp., Flat.",1.54,1.29,1.28,0.71,13.00,10.29,10.98,0.82
"Antisth., Ajax",0.48,0.69,1.05,1.87,11.86,8.76,8.28,0.95
"Antisth., Od.",1.70,0.51,1.21,1.95,8.20,7.59,4.35,1.16
"Alcidamas, Soph.",0.00,0.50,0.51,1.44,2.97,7.73,5.32,1.88
